Nav And Sales Load | MUTUAL FUNDS ASSOCIATION OF PAKISTAN

---

## NAV / Daily Prices Announcement

Report Time: 11:33:18 AM Report Date: Apr 28, 2026

AMC :

Fund :

From :

To :

Search Reset

| Sector | AMC | Fund | Category | Inception Date | Offer | Repurchase | NAV | Validity Date | Front-end | Back-end | Contingent | Market | Trustee |
| Dedicated Equity Funds | ABL Asset Management Company Limited | ABL Islamic Dedicated Stock Fund | Shariah Compliant Dedicated Equity | Dec 19, 2016 | 17.8680 | 17.8680 | 17.8680 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Financial Planning Fund (Active Allocation Plan) | Shariah Compliant Fund of Funds | Dec 22, 2015 | 103.7038 | 101.3524 | 101.3524 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Financial Planning Fund (Capital Preservation Plan I) | Shariah Compliant Fund of Funds - CPPI | Mar 29, 2019 | 0.0000 | 113.0183 | 113.0183 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Financial Planning Fund (Conservative Allocation Plan) | Shariah Compliant Fund of Funds | Dec 22, 2015 | 127.4775 | 124.5871 | 124.5871 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Fixed Term Plan V | Shariah Compliant Fixed Rate / Return | Feb 24, 2026 | 0.0000 | 10.1711 | 10.1711 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Income Fund | Shariah Compliant Income | Jul 31, 2010 | 11.2313 | 11.0392 | 11.0392 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Money Market Plan I | Shariah Compliant Money Market | Dec 22, 2023 | 11.0970 | 10.8454 | 10.8454 | Apr 28, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Sovereign Plan I | Shariah Compliant Income | Jul 22, 2024 | 11.0009 | 10.6309 | 10.6309 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Islamic Stock Fund | Shariah Compliant Equity | Jun 11, 2013 | 33.3064 | 32.5512 | 32.5512 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Money Market Plan I | Money Market | Nov 15, 2023 | 11.0624 | 10.8116 | 10.8116 | Apr 28, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Optimal Asset Allocation Fund | Asset Allocation | Sep 03, 2025 | 11.1058 | 10.7323 | 10.7323 | Apr 27, 2026 | 3 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Special Saving Fund (ABL Special Saving Plan I) | Capital Protected | Sep 19, 2019 | 11.0974 | 10.9701 | 10.9701 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Special Saving Fund (ABL Special Saving Plan II) | Capital Protected | Sep 20, 2019 | 11.7133 | 11.4477 | 11.4477 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Special Saving Fund (ABL Special Saving Plan III) | Capital Protected | Oct 11, 2019 | 11.2822 | 11.0264 | 11.0264 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Special Saving Fund (ABL Special Saving Plan IV) | Capital Protected | Dec 06, 2019 | 10.4214 | 10.3019 | 10.3019 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Special Saving Fund (ABL Special Saving Plan V) | Capital Protected | Feb 26, 2021 | 11.0548 | 10.9280 | 10.9280 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Special Saving Fund (ABL Special Saving Plan VI) | Capital Protected | Aug 05, 2022 | 11.0239 | 10.8975 | 10.8975 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | ABL Stock Fund | Equity | Jun 28, 2009 | 38.4097 | 37.5388 | 37.5388 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | ABL Asset Management Company Limited | Allied Finergy Fund | Asset Allocation | Nov 23, 2018 | 17.7230 | 17.1270 | 17.1270 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
